"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
1.531,1.531,1,1,1,1,0.155050797504187,0.145149230957031,0.121145256893253,
1.542,1.542,1,1,1,1,0.155405064368248,0.15033483505249,0.11966706159935,
1.552,1.552,1,1,1,1,0.154414933902025,0.14805793762207,0.123910912604427,
1.562,1.562,1,1,1,1,0.155014462441206,0.153648853302002,0.132927903897238,
1.572,1.572,1,1,1,1,0.157194566220045,0.150883197784424,0.120630272726345,
1.582,1.582,1,1,1,1,0.155050797504187,0.155365467071533,0.134248742917919,
1.592,1.592,1,1,1,1,0.159901528412104,0.147056579589844,0.117387779823589,
1.602,1.602,1,1,1,1,0.159347418701649,0.153934955596924,0.113954552044201,
1.612,1.612,1,1,1,1,0.161291344571114,0.16101598739624,0.12185574430871,
1.622,1.622,1,1,1,1,0.161445768588781,0.153625011444092,0.116815575193691,
1.632,1.632,1,1,1,1,0.162027129596472,0.157272815704346,0.117959984453487,
1.642,1.642,1,1,1,1,0.164034641826153,0.161576271057129,0.121669777803993,
1.652,1.652,1,1,1,1,0.16304451135993,0.162780284881592,0.113606460894346,
1.662,1.662,1,1,1,1,0.163862050276995,0.164449214935303,0.13020039516139,
1.673,1.673,1,1,1,1,0.165151945012808,0.164461135864258,0.131201753263712,
1.683,1.683,1,1,1,1,0.165551630705595,0.161218643188477,0.128417024064875,
1.693,1.693,1,1,1,1,0.167313881260157,0.162756443023682,0.132155427646875,
1.703,1.703,1,1,1,1,0.167277546197176,0.160682201385498,0.131440171859503,
1.713,1.713,1,1,1,1,0.169248723363876,0.172173976898193,0.13092995606451,
1.723,1.723,1,1,1,1,0.169566655164957,0.167500972747803,0.138068208822489,
1.733,1.733,1,1,1,1,0.170102597343922,0.163435935974121,0.13203621834898,
1.743,1.743,1,1,1,1,0.170729377180338,0.171566009521484,0.13527394287982,
1.753,1.753,1,1,1,1,0.17224636605978,0.168514251708984,0.131073007221985,
1.763,1.763,1,1,1,1,0.173463590669632,0.166010856628418,0.129194268687153,
1.773,1.773,1,1,1,1,0.173345501714945,0.17930269241333,0.122189530342817,
1.783,1.783,1,1,1,1,0.173554428327084,0.173068046569824,0.127553948748112,
1.794,1.794,1,1,1,1,0.176552071022987,0.175738334655762,0.137152681414652,
1.804,1.804,1,1,1,1,0.176361311942339,0.173318386077881,0.125527390683889,
1.814,1.814,1,1,1,1,0.177687541741133,0.178670883178711,0.138492593922997,
1.824,1.824,1,1,1,1,0.178078143668175,0.179660320281982,0.139327059008265,
1.834,1.834,1,1,1,1,0.178595918315649,0.179493427276611,0.13824940695529,
1.844,1.844,1,1,1,1,0.179159111791849,0.178825855255127,0.142622004002094,
1.854,1.854,1,1,1,1,0.179295368278027,0.183510780334473,0.138888368792009,
1.864,1.864,1,1,1,1,0.182165838253498,0.184857845306396,0.149445544213629,
1.874,1.874,1,1,1,1,0.180676100671291,0.184893608093262,0.141816149148321,
1.884,1.884,1,1,1,1,0.182765366792679,0.186443328857422,0.145373354597521,
1.894,1.894,1,1,1,1,0.183601073241234,0.188553333282471,0.151696215757895,
1.904,1.904,1,1,1,1,0.183255890142918,0.189816951751709,0.133967408974886,
1.914,1.914,1,1,1,1,0.185608585470915,0.187468528747559,0.143909464419365,
1.925,1.925,1,1,1,1,0.186871228909492,0.190055370330811,0.14152051008954,
1.935,1.935,1,1,1,1,0.187779605484009,0.188946723937988,0.137581834887075,
1.945,1.945,1,1,1,1,0.189169421643019,0.196146965026855,0.14230729145565,
1.955,1.955,1,1,1,1,0.189160337877274,0.195682048797607,0.145087252282572,
1.965,1.965,1,1,1,1,0.190359394955635,0.193488597869873,0.149602900486851,
1.975,1.975,1,1,1,1,0.191077012449503,0.197255611419678,0.15493870866065,
1.985,1.985,1,1,1,1,0.192248818230629,0.199472904205322,0.147423754521322,
1.997,1.997,1,1,1,1,0.190831750774384,0.197756290435791,0.152840625017691,
2.007,2.007,1,1,1,1,0.192684838986397,0.197029113769531,0.149998675355864,
2.018,2.018,1,1,1,1,0.194610597324371,0.197398662567139,0.152344714338446,
2.029,2.029,1,1,1,1,0.194710518747568,0.2044677734375,0.153336535696936,
2.039,2.039,1,1,1,1,0.19761732378602,0.202429294586182,0.151863108774948,
2.05,2.05,1,1,1,1,0.198407611405849,0.197970867156982,0.154089938459635,
2.06,2.06,1,1,1,1,0.199697506141663,0.202083587646484,0.155587207241201,
2.071,2.071,1,1,1,1,0.200887479454279,0.207805633544922,0.156040202573204,
2.082,2.082,1,1,1,1,0.20039695610404,0.196754932403564,0.164284717615652,
2.092,2.092,1,1,1,1,0.201296248912811,0.212979316711426,0.154237757989025,
2.103,2.103,1,1,1,1,0.203049415701628,0.210988521575928,0.166382801258612,
2.114,2.114,1,1,1,1,0.202785986495018,0.207948684692383,0.171918881052876,
2.124,2.124,1,1,1,1,0.203294677376747,0.212299823760986,0.165591251520586,
2.135,2.135,1,1,1,1,0.205011509102583,0.21359920501709,0.162744533486843,
2.146,2.146,1,1,1,1,0.205511116218567,0.216019153594971,0.158295642489386,
2.156,2.156,1,1,1,1,0.207727555060387,0.220036506652832,0.164151203202009,
2.167,2.167,1,1,1,1,0.208436088788509,0.216686725616455,0.163836490655565,
2.178,2.178,1,1,1,1,0.210516271144152,0.218701362609863,0.164289485987568,
2.188,2.188,1,1,1,1,0.211043129557371,0.221645832061768,0.162038814443302,
2.199,2.199,1,1,1,1,0.212133181446791,0.223922729492188,0.152883540364933,
2.209,2.209,1,1,1,1,0.213023390489817,0.223612785339355,0.167021763095331,
2.22,2.22,1,1,1,1,0.212214935338497,0.218844413757324,0.155644427704191,
2.231,2.231,1,1,1,1,0.21485831117034,0.229763984680176,0.157289516015148,
2.241,2.241,1,1,1,1,0.214567630666494,0.223958492279053,0.172100079185677,
2.252,2.252,1,1,1,1,0.215385169583559,0.229942798614502,0.167632114700556,
2.263,2.263,1,1,1,1,0.216865823400021,0.223195552825928,0.164356243194389,
2.273,2.273,1,1,1,1,0.216011949419975,0.224673748016357,0.177330983177328,
2.284,2.284,1,1,1,1,0.217492603236437,0.232326984405518,0.176973355283642,
2.295,2.295,1,1,1,1,0.219808963501453,0.230145454406738,0.169229519292355,
2.305,2.305,1,1,1,1,0.220817261499166,0.234758853912354,0.174818051177692,
2.316,2.316,1,1,1,1,0.22212532376647,0.236725807189941,0.169816029038,
2.326,2.326,1,1,1,1,0.22297011398077,0.237560272216797,0.172195446623993,
2.337,2.337,1,1,1,1,0.225359144371748,0.243282318115234,0.175189984187126,
2.348,2.348,1,1,1,1,0.225286474245787,0.241732597351074,0.175862324627256,
2.358,2.358,1,1,1,1,0.228574797445536,0.238323211669922,0.180187237954903,
2.369,2.369,1,1,1,1,0.228756472760439,0.242042541503906,0.173854840050697,
2.38,2.38,1,1,1,1,0.230091786324978,0.241708755493164,0.181293500239372,
2.39,2.39,1,1,1,1,0.230736733692884,0.243473052978516,0.188117040450907,
2.401,2.401,1,1,1,1,0.231054665493965,0.246965885162354,0.179491055655193,
2.412,2.412,1,1,1,1,0.233107596552372,0.242125988006592,0.186042798667526,
2.422,2.422,1,1,1,1,0.234397491288185,0.247752666473389,0.180215848186398,
2.433,2.433,1,1,1,1,0.234052308189869,0.249803066253662,0.187501920473766,
2.443,2.443,1,1,1,1,0.234270318567753,0.2510666847229,0.182833684368181,
2.454,2.454,1,1,1,1,0.237367882686853,0.252342224121094,0.18594743122921,
2.465,2.465,1,1,1,1,0.237613144361973,0.253641605377197,0.187282575365639,
