"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0.95,0.95,1,1,1,1,0.133640361642837,5.21330833435059,0.0567770044016361,
0.961,0.961,1,1,1,1,0.136928684842586,5.27781248092651,0.0555563011911869,
0.971,0.971,1,1,1,1,0.137964234137535,5.32724857330322,0.0585603754981518,
0.981,0.981,1,1,1,1,0.136801512122154,5.38637638092041,0.0618457837481499,
0.991,0.991,1,1,1,1,0.140498604780436,5.45276403427124,0.0609254879683971,
1.001,1.001,1,1,1,1,0.142778629982471,5.51685094833374,0.0598144573120117,
1.011,1.011,1,1,1,1,0.143587085133791,5.57715892791748,0.0565671960373402,
1.021,1.021,1,1,1,1,0.14796546022296,5.64404726028442,0.0631618543969154,
1.032,1.032,1,1,1,1,0.147683863484859,5.70985078811646,0.055527690959692,
1.042,1.042,1,1,1,1,0.150336323082447,5.77288866043091,0.0536775626563549,
1.052,1.052,1,1,1,1,0.151526296395063,5.82760572433472,0.0665330933413982,
1.062,1.062,1,1,1,1,0.152798023599386,5.89121580123901,0.0572252313617229,
1.072,1.072,1,1,1,1,0.155477734494209,5.93597888946533,0.0657844589506149,
1.082,1.082,1,1,1,1,0.154778284531832,5.99679946899414,0.0724315694012642,
1.092,1.092,1,1,1,1,0.158511712253094,6.05100393295288,0.0577831308758736,
1.102,1.102,1,1,1,1,0.160610062140226,6.10430240631104,0.0655460403548241,
1.112,1.112,1,1,1,1,0.160900742644072,6.14796876907349,0.0632572218352318,
1.122,1.122,1,1,1,1,0.163535034710169,6.20189905166626,0.0666713761269569,
1.132,1.132,1,1,1,1,0.165960400164127,6.2491774559021,0.0561857262840748,
1.142,1.142,1,1,1,1,0.165052023589611,6.29297494888306,0.0777149254839897,
1.152,1.152,1,1,1,1,0.167322965025902,6.34374618530273,0.0664520310188293,
1.163,1.163,1,1,1,1,0.16666893389225,6.39803409576416,0.0624561353533745,
1.173,1.173,1,1,1,1,0.171492413502932,6.44098520278931,0.0598430675435066,
1.183,1.183,1,1,1,1,0.169503068804741,6.48651123046875,0.0666141556639671,
1.193,1.193,1,1,1,1,0.172691470581293,6.53014183044434,0.0610637707539558,
1.203,1.203,1,1,1,1,0.173663433516026,6.5746545791626,0.0623750730308056,
1.213,1.213,1,1,1,1,0.173109323805571,6.62224292755127,0.0678157853867531,
1.223,1.223,1,1,1,1,0.174471888667345,6.66792392730713,0.0724935582361698,
1.233,1.233,1,1,1,1,0.175943458718061,6.72761201858521,0.0724601796327591,
1.243,1.243,1,1,1,1,0.179222698152065,6.79943561553955,0.07415772003479,
1.253,1.253,1,1,1,1,0.182692696666718,6.85718059539795,0.0668859528631687,
1.263,1.263,1,1,1,1,0.183764581024647,6.92048072814941,0.0712299396784782,
1.273,1.273,1,1,1,1,0.185644920533895,6.98150396347046,0.0767183357535839,
1.284,1.284,1,1,1,1,0.187198244476318,7.04751014709473,0.072879796361351,
1.294,1.294,1,1,1,1,0.189005913859606,7.09996223449707,0.076246266933918,
1.304,1.304,1,1,1,1,0.191622038394213,7.17002153396606,0.0644350096984386,
